@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB2"
@ PARTICLE         %06s "PROTON"
@ MASS             %le      0.938272
@ CHARGE           %le      1.000000
@ ENERGY           %le   7000.000063
@ PC               %le   7000.000000
@ GAMMA            %le   7460.523257
@ KBUNCH           %le      1.000000
@ BCURRENT         %le      0.000000
@ SIGE             %le      0.000000
@ SIGT             %le      0.000000
@ NPART            %le      0.000000
@ EX               %le      1.000000
@ EY               %le      1.000000
@ ET               %le      1.000000
@ LENGTH           %le  26658.883200
@ ALFA             %le      0.000321
@ ORBIT5           %le     -0.000000
@ GAMMATR          %le     55.817909
@ Q1               %le     64.309999
@ Q2               %le     59.320001
@ DQ1              %le      1.057578
@ DQ2              %le      0.926702
@ DXMAX            %le      3.213328
@ DYMAX            %le      1.385041
@ XCOMAX           %le      0.008469
@ YCOMAX           %le      0.006116
@ BETXMAX          %le   4401.744555
@ BETYMAX          %le   4401.734396
@ XCORMS           %le      0.000615
@ YCORMS           %le      0.000478
@ DXRMS            %le      1.420451
@ DYRMS            %le      0.193953
@ DELTAP           %le      0.000000
@ SYNCH_1           %le      0.000000
@ SYNCH_2           %le      0.000000
@ SYNCH_3           %le      0.000000
@ SYNCH_4           %le      0.000000
@ SYNCH_5           %le      0.000000
@ TITLE            %29s "LHC version 6.5 -  March 2004"
@ ORIGIN           %19s "MAD-X 2.13.12 Linux"
@ DATE             %08s "23/06/05"
@ TIME             %08s "18.09.47"
* NAME               KEYWORD                       S            L          K0L          K1L          K2L          K3L        HKICK        VKICK         BETX         ALFX          MUX           DX          DPX            X           PX         BETY         ALFY          MUY           DY          DPY            Y           PY APERTYPE                 APER_1       APER_2       APER_3       APER_4 
$ %s                 %s                          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le          %le %s                          %le          %le          %le          %le 
 "DRIFT_38"          "DRIFT"             12789.556589     0.339247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   166.672199     2.288597    30.575932     2.153254    -0.028531    -0.000000     0.000000    35.627599    -0.573248    28.580318    -0.071521     0.001877     0.000000    -0.000000 "NONE"                  0.000000     0.000000     0.000000     0.000000
 "MB.C13L5.B2"       "SBEND"             12803.856589    14.300000    -0.005100    -0.000000    -0.000000    -0.000000     0.000000     0.000000   108.868056     1.753616    30.592859     1.781703    -0.023434    -0.000000     0.000000    59.648259    -1.106519    28.630516    -0.044679     0.001877     0.000000    -0.000000 "RECTELLIPSE"           0.000000     0.017140     0.022020     0.022020
 "DRIFT_39"          "DRIFT"             12804.075836     0.219247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   108.100904     1.745409    30.593181     1.776565    -0.023434    -0.000000     0.000000    60.135254    -1.114695    28.631098    -0.044267     0.001877     0.000000    -0.000000 "NONE"                  0.000000     0.000000     0.000000     0.000000
 "MCS.C13L5.B2"      "SEXTUPOLE"         12804.185836     0.110000     0.000000    -0.000000    -0.000000    -0.000000     0.000000     0.000000   107.717367     1.741291    30.593343     1.773988    -0.023434    -0.000000     0.000000    60.380938    -1.118797    28.631389    -0.044060     0.001877     0.000000    -0.000000 "CIRCLE"                0.000000     0.000000     0.000000     0.000000
 "DRIFT_40"          "DRIFT"             12805.217084     1.031247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000   104.165772     1.702689    30.594893     1.749821    -0.023434    -0.000000     0.000000    62.728109    -1.157254    28.634056    -0.042125     0.001877     0.000000    -0.000000 "NONE"                  0.000000     0.000000     0.000000     0.000000
 "MB.B13L5.B2"       "SBEND"             12819.517084    14.300000    -0.005100    -0.000000    -0.000000    -0.000000     0.000000     0.000000    63.121431     1.167519    30.623108     1.451154    -0.018337    -0.000000     0.000000   103.451343    -1.690525    28.662459    -0.015282     0.001877    -0.000000    -0.000000 "RECTELLIPSE"           0.000000     0.017140     0.022020     0.022020
 "DRIFT_39"          "DRIFT"             12819.736331     0.219247     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000    62.611279     1.159311    30.623663     1.447133    -0.018337    -0.000000     0.000000   104.194422    -1.698701    28.662795    -0.014870     0.001877    -0.000000    -0.000000 "NONE"                  0.000000     0.000000     0.000000     0.000000
 "MCS.B13L5.B2"      "SEXTUPOLE"         12819.846331     0.110000     0.000000    -0.000000    -0.000000    -0.000000     0.000000     0.000000    62.356684     1.155193    30.623943     1.445116    -0.018337    -0.000000     0.000000   104.568587    -1.702803    28.662963    -0.014664     0.001877    -0.000000    -0.000000 "CIRCLE"                0.000000     0.000000     0.000000     0.000000
 "DRIFT_8"           "DRIFT"             12820.538331     0.692000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000    60.775823     1.129287    30.625732     1.432427    -0.018337    -0.000000     0.000000   106.943124    -1.728609    28.664004    -0.013365     0.001877    -0.000000    -0.000000 "NONE"                  0.000000     0.000000     0.000000     0.000000
 "MCDO.A13L5.B2"     "MULTIPOLE"         12820.538331     0.000000     0.000000    -0.000000    -0.000000    -0.000000    -0.000000    -0.000000    60.775823     1.129287    30.625732     1.432427    -0.018337    -0.000000     0.000000   106.943124    -1.728609    28.664004    -0.013365     0.001877    -0.000000    -0.000000 "CIRCLE"                0.000000     0.000000     0.000000     0.000000
